,null_deg,60_deg,90_deg,180_deg,240_deg,labels
33,0.24070872044565705,0.41833587901839336,0.30143039205586253,0.4249180408187797,0.050096222215865654,R
34,0.9290474996865068,0.4905332308871813,0.6500098416214162,0.5575899625434477,0.8270453952310306,M
35,0.0470617635781932,0.5228572467290278,0.011500644055019665,0.2888924284604645,0.3362857171486188,R
36,0.5471199117088216,0.5529588040529512,0.36489544350918157,0.20090595145199214,0.44392291199247386,R
37,0.5776877919622267,0.9615200263528982,0.9908415856148916,0.4301389100888027,0.6186802626213181,M
38,0.5601974458350152,0.7228442326866777,0.4323099606202202,0.9532448573566594,0.4914615233020592,M
39,0.9074912894227589,0.8561056358014154,0.8623420458462702,0.7774623044155388,0.9343547489983379,M
40,0.3212769251040518,0.44193600232119845,0.021588963929606193,0.4530662890757769,0.08359738968223943,R
41,0.7477175739018977,0.7158350969353193,0.43086682459133524,0.9298830897903245,0.6497782590561918,M
42,0.748786889773067,0.5030278227925611,0.4666546429427275,0.4557145025619957,0.8517232401374686,M
43,0.5695456021567323,0.22614728771975304,0.27985645901987466,0.5008565812802876,0.011642782663054529,R
44,0.24583078691949273,0.35766221032265755,0.11779948467534392,0.12362038495269555,0.25714234760283944,R
45,0.4432597422062515,0.9460073290203386,0.4504919605235658,0.7011476772366629,0.7638233100732955,M
46,0.46327951704056747,0.2515933757198474,0.5435311672765216,0.4792446091420365,0.012026066357769255,R
47,0.27719530932497316,0.4980702653350565,0.4154803519407024,0.10705577011490368,0.39765834187175353,R
48,0.8485217373091363,0.9218507282075068,0.7482189852098287,0.6698604273424786,0.8860282636586346,M
49,0.22772211829419392,0.46601400008092103,0.41328978141699374,0.18278075015809317,0.09878162166183295,R
50,0.025139390402768618,0.06430882493142213,0.04890217375391192,0.44288552830374733,0.15145536936566112,R
51,0.5871591539493083,0.6173804767067806,0.5762254976528296,0.6968797013395198,0.6263064502512783,M
52,0.6905808876563315,0.9822930744515213,0.7192662423695324,0.6111744164761165,0.5027090867677886,M
53,0.08784177006791122,0.30093370897055366,0.09565404588483757,0.43719604587221395,0.539820205709166,R
54,0.9563216529482337,0.9509223847134334,0.896214428754637,0.8773231267910813,0.5030981441982838,M
55,0.470634050862363,0.3033066150299036,0.34893896886922543,0.13279442021419594,0.3666009320850997,R
56,0.4742363795857601,0.07955492331570622,0.19485788667633525,0.1490461954527667,0.23238518930387442,R
